GEO,GEO_OBJECT,EMPSTA_ENQ,AGE,PCS,RP_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE,LIB_EMPSTA,LIB_PCS,code_insee,nom_commune,latitude,longitude,population
54547,COM,1T2,Y15T64,4,POP,A,2016,2619.13609,Actif,Professions intermédiaires,54547,Vandœuvre-lès-Nancy,48.66,6.173,29537
57463,COM,1T2,Y15T64,_T,POP,A,2011,57902.45229,Actif,Total,57463,Metz,49.12,6.176,120874
56098,COM,1T2,Y15T64,4,POP,A,2011,2140.36209,Actif,Professions intermédiaires,56098,Lanester,47.764,-3.347,23026
54547,COM,1T2,Y15T64,3,POP,A,2011,2253.75633,Actif,Cadres et professions intellectuelles supérieures,54547,Vandœuvre-lès-Nancy,48.66,6.173,29537
57463,COM,1T2,Y15T64,3,POP,A,2016,9874.82479,Actif,Cadres et professions intellectuelles supérieures,57463,Metz,49.12,6.176,120874
56260,COM,1T2,Y15T64,5,POP,A,2016,7106.18714,Actif,Employés,56260,Vannes,47.658,-2.761,54420
54547,COM,1T2,Y15T64,6,POP,A,2011,2578.8346,Actif,Ouvriers,54547,Vandœuvre-lès-Nancy,48.66,6.173,29537
57227,COM,1T2,Y15T64,4,POP,A,2011,1673.93612,Actif,Professions intermédiaires,57227,Forbach,49.186,6.896,21130
56121,COM,1T2,Y15T64,5,POP,A,2016,7726.65787,Actif,Employés,56121,Lorient,47.748,-3.366,57846
57227,COM,1T2,Y15T64,6,POP,A,2011,3224.87323,Actif,Ouvriers,57227,Forbach,49.186,6.896,21130
56121,COM,1T2,Y15T64,1,POP,A,2011,36.99324,Actif,Agriculteurs,56121,Lorient,47.748,-3.366,57846
56260,COM,1T2,Y15T64,4,POP,A,2011,5826.23075,Actif,Professions intermédiaires,56260,Vannes,47.658,-2.761,54420
56260,COM,1T2,Y15T64,2,POP,A,2011,1418.20751,Actif,"Artisans, commerçants et chefs d’entreprise",56260,Vannes,47.658,-2.761,54420
57227,COM,1T2,Y15T64,5,POP,A,2016,2575.59188,Actif,Employés,57227,Forbach,49.186,6.896,21130
56260,COM,1T2,Y15T64,2,POP,A,2016,1323.21191,Actif,"Artisans, commerçants et chefs d’entreprise",56260,Vannes,47.658,-2.761,54420
54547,COM,1T2,Y15T64,5,POP,A,2011,3872.08874,Actif,Employés,54547,Vandœuvre-lès-Nancy,48.66,6.173,29537
57463,COM,1T2,Y15T64,4,POP,A,2016,13649.76187,Actif,Professions intermédiaires,57463,Metz,49.12,6.176,120874
56121,COM,1T2,Y15T64,5,POP,A,2011,8091.89144,Actif,Employés,56121,Lorient,47.748,-3.366,57846
57463,COM,1T2,Y15T64,1,POP,A,2016,46.63603,Actif,Agriculteurs,57463,Metz,49.12,6.176,120874
57227,COM,1T2,Y15T64,2,POP,A,2011,470.31248,Actif,"Artisans, commerçants et chefs d’entreprise",57227,Forbach,49.186,6.896,21130
57463,COM,1T2,Y15T64,4,POP,A,2011,14266.42463,Actif,Professions intermédiaires,57463,Metz,49.12,6.176,120874
56098,COM,1T2,Y15T64,1,POP,A,2011,18.41479,Actif,Agriculteurs,56098,Lanester,47.764,-3.347,23026
54547,COM,1T2,Y15T64,_T,POP,A,2011,12621.35709,Actif,Total,54547,Vandœuvre-lès-Nancy,48.66,6.173,29537
56121,COM,1T2,Y15T64,3,POP,A,2011,3385.93266,Actif,Cadres et professions intellectuelles supérieures,56121,Lorient,47.748,-3.366,57846
54547,COM,1T2,Y15T64,3,POP,A,2016,1954.00928,Actif,Cadres et professions intellectuelles supérieures,54547,Vandœuvre-lès-Nancy,48.66,6.173,29537
56121,COM,1T2,Y15T64,4,POP,A,2011,6393.64695,Actif,Professions intermédiaires,56121,Lorient,47.748,-3.366,57846
57227,COM,1T2,Y15T64,4,POP,A,2016,1561.30985,Actif,Professions intermédiaires,57227,Forbach,49.186,6.896,21130
57463,COM,1T2,Y15T64,3,POP,A,2011,10214.00205,Actif,Cadres et professions intellectuelles supérieures,57463,Metz,49.12,6.176,120874
56260,COM,1T2,Y15T64,4,POP,A,2016,5585.19953,Actif,Professions intermédiaires,56260,Vannes,47.658,-2.761,54420
56121,COM,1T2,Y15T64,6,POP,A,2016,6315.01437,Actif,Ouvriers,56121,Lorient,47.748,-3.366,57846
56098,COM,1T2,Y15T64,_T,POP,A,2016,9833.29145,Actif,Total,56098,Lanester,47.764,-3.347,23026
54547,COM,1T2,Y15T64,4,POP,A,2011,3102.78084,Actif,Professions intermédiaires,54547,Vandœuvre-lès-Nancy,48.66,6.173,29537
57227,COM,1T2,Y15T64,3,POP,A,2016,658.68903,Actif,Cadres et professions intellectuelles supérieures,57227,Forbach,49.186,6.896,21130
56260,COM,1T2,Y15T64,1,POP,A,2016,33.06126,Actif,Agriculteurs,56260,Vannes,47.658,-2.761,54420
54547,COM,1T2,Y15T64,6,POP,A,2016,2344.4806,Actif,Ouvriers,54547,Vandœuvre-lès-Nancy,48.66,6.173,29537
57463,COM,1T2,Y15T64,_T,POP,A,2016,54745.21337,Actif,Total,57463,Metz,49.12,6.176,120874
59328,COM,1T2,Y15T64,_T,POP,A,2016,12851.92888,Actif,Total,59328,Lambersart,50.647,3.021,27121
59410,COM,1T2,Y15T64,2,POP,A,2016,346.77143,Actif,"Artisans, commerçants et chefs d’entreprise",59410,Mons-en-Barœul,50.643,3.11,21467
59122,COM,1T2,Y15T64,1,POP,A,2016,25.35631,Actif,Agriculteurs,59122,Cambrai,50.176,3.235,31425
59017,COM,1T2,Y15T64,2,POP,A,2011,406.4011,Actif,"Artisans, commerçants et chefs d’entreprise",59017,Armentières,50.687,2.882,25581
59378,COM,1T2,Y15T64,5,POP,A,2016,3598.75893,Actif,Employés,59378,Marcq-en-Barœul,50.673,3.094,39356
57672,COM,1T2,Y15T64,1,POP,A,2016,14.9596,Actif,Agriculteurs,57672,Thionville,49.358,6.168,42163
59172,COM,1T2,Y15T64,6,POP,A,2011,2976.56339,Actif,Ouvriers,59172,Denain,50.326,3.394,20640
59350,COM,1T2,Y15T64,_T,POP,A,2011,110538.09182,Actif,Total,59350,Lille,50.63,3.071,236710
59017,COM,1T2,Y15T64,5,POP,A,2011,3707.16022,Actif,Employés,59017,Armentières,50.687,2.882,25581
59392,COM,1T2,Y15T64,4,POP,A,2011,2317.41306,Actif,Professions intermédiaires,59392,Maubeuge,50.28,3.967,29066
59328,COM,1T2,Y15T64,2,POP,A,2016,600.43461,Actif,"Artisans, commerçants et chefs d’entreprise",59328,Lambersart,50.647,3.021,27121
57631,COM,1T2,Y15T64,3,POP,A,2011,1078.57825,Actif,Cadres et professions intellectuelles supérieures,57631,Sarreguemines,49.11,7.07,20624
59328,COM,1T2,Y15T64,5,POP,A,2016,2675.18367,Actif,Employés,59328,Lambersart,50.647,3.021,27121
59378,COM,1T2,Y15T64,6,POP,A,2016,1763.99814,Actif,Ouvriers,59378,Marcq-en-Barœul,50.673,3.094,39356
59178,COM,1T2,Y15T64,6,POP,A,2011,5142.71123,Actif,Ouvriers,59178,Douai,50.368,3.08,39648
