id;starttime;endtime;description;type;subtype;street;polyline;direction
20260421T213641_5264_1431;2026-04-21T21:36:41+02:00;2026-04-22T06:00:00+02:00;SE_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PE_Gentilly;48.8164816798007664 2.3418359646445879 48.8162962408909991 2.3455497115337600 48.8163031266166527 2.3464715081625283;ONE_DIRECTION
20260421T213641_5328_736;2026-04-21T21:36:41+02:00;2026-04-22T06:00:00+02:00;SE_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PE_Courteline;48.8415501825651788 2.4137421889121180 48.8447508551051399 2.4142006629710351;ONE_DIRECTION
20260421T213641_5329_2452;2026-04-21T21:36:41+02:00;2026-04-22T06:00:00+02:00;SE_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PE_Vincennes;48.8447508551051399 2.4142006629710351 48.8487037010117007 2.4149721956715764;ONE_DIRECTION
20260319T174414_2_1158;2026-03-19T17:44:14+02:00;2029-02-02T18:00:00+02:00;Travaux:maitre d'ouvrage:musée du louvre/Objet:réhabilitation d'immeuble/réduction à 2 voie/circulation restreinte;CONSTRUCTION;;Quai_du_Louvre;48.8596471475504828 2.3350638786248012 48.8594187949436929 2.3360813747777232 48.8592592360785360 2.3370164517674281 48.8591820890868220 2.3378512356309962;ONE_DIRECTION
20260413T020000_4848_2256;2026-04-13T02:00:00+02:00;2027-09-20T02:00:00+02:00;Travaux sur la ventilation RATP. Circulation restreinte, une voie dans chaques sens de la circulation.;CONSTRUCTION;;Av_Jean_Jaures;48.8866710024017195 2.3846956545675928 48.8859945335529602 2.3820715095670679;ONE_DIRECTION
20251119T094220_1352_1223;2025-11-19T09:42:20+02:00;2030-11-19T10:04:00+02:00;Interdit sauf BUS, Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_Gambetta;48.8683112793836543 2.4013475520610199 48.8665126433280861 2.3998165913775256;ONE_DIRECTION
20251119T094336_35_1063;2025-11-19T09:43:36+02:00;2030-11-19T10:05:00+02:00;Interdit sauf BUS, Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8621582136371160 2.3369915823366560 48.8626781571862310 2.3353335923384280;ONE_DIRECTION
20251119T094336_23_1061;2025-11-19T09:43:36+02:00;2030-11-19T10:05:00+02:00;Interdit sauf BUS, Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rue de Rivoli;48.8569525611540811 2.3537289556893217 48.8572903442405249 2.3523857637496040;ONE_DIRECTION
20251119T094336_31_1599;2025-11-19T09:43:36+02:00;2030-11-19T10:05:00+02:00;Interdit sauf BUS, Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8599242487681593 2.3439087680977191 48.8600921719548964 2.3433932841591374;ONE_DIRECTION
20251119T094336_31_2520;2025-11-19T09:43:36+02:00;2030-11-19T10:05:00+02:00;Interdit sauf BUS, Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8600921719548964 2.3433932841591374 48.8604448421113489 2.3423106121012647;ONE_DIRECTION
20251119T094336_282_569;2025-11-19T09:43:36+02:00;2030-11-19T10:05:00+02:00;Interdit sauf BUS, Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8637319223259254 2.3320446920555993 48.8643927447054551 2.3300736682310164;ONE_DIRECTION
20240329T161009_1418_2811;2024-03-29T16:10:09+02:00;2050-03-29T09:00:00+02:00;Belgrand;ROAD_CLOSED;ROAD_CLOSED_EVENT;Belgrand;48.8648661170734044 2.3988440802984492 48.8647610210920789 2.4013849285854998;ONE_DIRECTION
20260414T130058_6724_2489;2026-04-14T13:00:58+02:00;2026-04-29T09:00:00+02:00;;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;Bd_Macdonald;48.8980528940855947 2.3869915685845124 48.8974967843143986 2.3888390078844881 48.8973366918201933 2.3909350794681452 48.8971312208448339 2.3918738739181480 48.8969079794244621 2.3924452889207561;ONE_DIRECTION
20260413T020000_4895_2183;2026-04-13T02:00:00+02:00;2027-09-20T02:00:00+02:00;Travaux sur la ventilation RATP. Circulation restreinte, une voie dans chaques sens de la circulation.;CONSTRUCTION;;Av_Jean_Jaures;48.8858907850423492 2.3821651445960264 48.8865264433891014 2.3847198230338615;ONE_DIRECTION
20260413T020000_6561_1714;2026-04-13T02:00:00+02:00;2027-09-20T02:00:00+02:00;Travaux sur la ventilation RATP. Circulation restreinte, une voie dans chaques sens de la circulation.;CONSTRUCTION;;Av_Jean_Jaures;48.8855113319533103 2.3807966079755745 48.8858907850423492 2.3821651445960264;ONE_DIRECTION
